group,variable,value
Jul-15,39518,27.28
15-Aug,31845,21.98
Jun-23,25279,17.45
15-May,10561,7.29
15-Oct,8108,5.6
15-Sep,22907,15.81
15-Nov,3816,2.63
15-Dec,2834,1.96
